symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,exit_time,holding_days,exit_reason,initial_notional,initial_risk_cash,entry_fee,exit_fees,price_pnl,funding_pnl,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only,fold_year
BTCUSDT,LONG,1d,2021-01-03 00:00:00+00:00,32198.41,28769.92,35626.9,39055.39,45912.37,2160,2021-01-04 00:00:00+00:00,1.0,STOP,0.03286999087061649,0.0034999999999999996,6.573998174123299e-05,5.873998174123298e-05,-0.0034999999999999996,-0.0002822382242936831,-0.003906718187776149,-0.11885364383439748,-1.1162051965074713,False,False,False,True,2021
ETHUSDT,LONG,1d,2021-01-03 00:00:00+00:00,775.04,678.1999999999999,871.88,968.72,1162.4,2160,2021-01-04 00:00:00+00:00,1.0,TP1+TP2+TP3,0.02801156546881453,0.0035000000000000005,5.602313093762906e-05,7.562313093762907e-05,0.009800000000000001,-0.00025158778063119575,0.009416765957493547,0.3361742123258801,2.69050455928387,True,True,True,True,2021
BTCUSDT,LONG,1d,2021-01-07 00:00:00+00:00,36825.77,32289.693999999996,41361.846,45897.92199999999,54970.07399999999,2160,2021-01-10 00:00:00+00:00,3.0,TP1+STOP,0.02867857683792934,0.00353253181423463,5.7357153675858687e-05,5.877016640155254e-05,0.000706506362846926,-0.0003891505410701603,0.00020122850169935447,0.007016683667273764,0.05696438483256896,True,False,False,True,2021
BNBUSDT,LONG,1d,2021-01-04 00:00:00+00:00,41.301,35.9403,46.6617,52.022400000000005,62.74380000000001,2160,2021-01-11 00:00:00+00:00,7.0,STOP,0.027153741853586193,0.0035244440559434285,5.4307483707172386e-05,4.725859559528553e-05,-0.0035244440559434285,-0.0007286307515516845,-0.004354640886797571,-0.16036982712283,-1.2355539817561139,False,False,False,True,2021
ETHUSDT,LONG,1d,2021-01-05 00:00:00+00:00,1043.12,896.0599999999998,1190.1799999999998,1337.24,1631.3600000000001,2160,2021-01-11 00:00:00+00:00,6.0,TP1+TP2+STOP,0.02495365765273645,0.0035179892001029832,4.99073153054729e-05,5.905408722574065e-05,0.004573385960133876,-0.0007236312598395512,0.0037407932977631115,0.14990961845438686,1.0633327975121714,True,True,False,True,2021
SOLUSDT,LONG,1d,2021-01-09 00:00:00+00:00,3.222,2.4498100000000003,3.9941899999999997,4.76638,6.31076,2160,2021-01-21 00:00:00+00:00,12.0,TP1+STOP,0.014776966168972288,0.0035414728448226896,2.9553932337944576e-05,3.0970521475873655e-05,0.000708294568964538,-0.00037422430590049166,0.00027354580925022806,0.01851163534667906,0.07724069087530265,True,False,False,True,2021
BNBUSDT,LONG,1d,2021-01-18 00:00:00+00:00,45.861,38.671099999999996,53.0509,60.24079999999999,74.6206,2160,2021-01-21 00:00:00+00:00,3.0,STOP,0.022497216283981374,0.0035270215512134,4.499443256796275e-05,3.794038946553595e-05,-0.0035270215512134,-0.00018213734742666683,-0.0037920937206735654,-0.1685583528560215,-1.0751546781359962,False,False,False,True,2021
ETHUSDT,LONG,1d,2021-01-20 00:00:00+00:00,1367.38,1045.643,1689.1170000000002,2010.854,2654.328,2160,2021-01-22 00:00:00+00:00,2.0,STOP,0.01494939299455843,0.003517510022005767,2.989878598911686e-05,2.2863765945105323e-05,-0.003517510022005767,-6.462489828303788e-05,-0.003634897472223027,-0.24314682700134566,-1.0333723143595546,False,False,False,True,2021
BNBUSDT,LONG,1d,2021-02-02 00:00:00+00:00,51.461,44.3792,58.5428,65.6246,79.78819999999999,2160,2021-02-08 00:00:00+00:00,6.0,TP1+TP2+TP3,0.0254093311446994,0.0034967023823970042,5.08186622893988e-05,7.040019563082201e-05,0.009790766670711609,5.778915531893643e-05,0.009727336968110324,0.38282538460834414,2.781860136876217,True,True,True,True,2021
SOLUSDT,LONG,1d,2021-01-31 00:00:00+00:00,4.244,3.14816,5.33984,6.43568,8.62736,2160,2021-02-10 00:00:00+00:00,10.0,TP1+TP2+TP3,0.013527029427580148,0.003492803941545577,2.7054058855160297e-05,4.661376092781553e-05,0.009779851036327615,-0.0005924835518885581,0.009113699664656081,0.673739915585179,2.609278910920846,True,True,True,True,2021
BNBUSDT,LONG,1d,2021-02-09 00:00:00+00:00,80.146,69.55630000000001,90.7357,101.3254,122.50479999999999,2160,2021-02-10 00:00:00+00:00,1.0,TP1+TP2+TP3,0.02696722762735165,0.003563182821417982,5.39344552547033e-05,7.388827905464401e-05,0.009976911899970353,-0.00038543686900422683,0.009463652296656778,0.350931598436104,2.6559547379302537,True,True,True,True,2021
SOLUSDT,LONG,1d,2021-02-11 00:00:00+00:00,9.1098,7.53498,10.68462,12.25944,15.40908,2160,2021-02-17 00:00:00+00:00,6.0,STOP,0.020797112929998945,0.003595217171004955,4.1594225859997895e-05,3.440379151798798e-05,-0.003595217171004955,-0.000567324843008396,-0.004238540031391337,-0.2038042513717096,-1.1789385257654845,False,False,False,True,2021
BNBUSDT,LONG,1d,2021-02-11 00:00:00+00:00,128.9,111.08500000000001,146.715,164.53,200.16000000000003,2160,2021-02-18 00:00:00+00:00,7.0,TP1+TP2+TP3,0.02601310655866061,0.003595217171004955,5.202621311732122e-05,7.215942927494897e-05,0.010066608078813877,-0.0009533241797070335,0.008989098256714572,0.3455603519112103,2.5002935369831607,True,True,True,True,2021
BNBUSDT,LONG,1d,2021-02-19 00:00:00+00:00,195.571,161.7871,229.3549,263.1388,330.7066,2160,2021-02-19 00:00:00+00:00,0.0,TP1+TP2+TP3,0.020992551219712836,0.003626356929972523,4.1985102439425675e-05,6.22927012472718e-05,0.010153799403923065,-0.0002474065422802236,0.009802115057956143,0.4669330066348281,2.703019930812606,True,True,True,True,2021
BNBUSDT,LONG,1d,2021-02-20 00:00:00+00:00,334.111,285.0827,383.1393,432.1676,530.2242,2160,2021-02-20 00:00:00+00:00,0.0,STOP,0.02499425554163394,0.003667720784325842,4.998851108326788e-05,4.265306951461619e-05,-0.003667720784325842,-0.00018239439544729335,-0.003942756760371019,-0.15774651714684643,-1.0749882535280644,False,False,False,True,2021
SOLUSDT,LONG,1d,2021-02-20 00:00:00+00:00,11.514,9.22247,13.80553,16.09706,20.68012,2160,2021-02-22 00:00:00+00:00,2.0,STOP,0.01842879522010523,0.0036677207843258414,3.685759044021046e-05,2.9522148871558777e-05,-0.0036677207843258414,-0.00017596505088892758,-0.003910065574526538,-0.21217152439030745,-1.0660750380008117,False,False,False,True,2021
ETHUSDT,LONG,1d,2021-02-03 00:00:00+00:00,1516.2,1203.422,1828.978,2141.756,2767.312,2160,2021-02-23 00:00:00+00:00,20.0,TP1+STOP,0.016979633381692682,0.0035027409113963025,3.3959266763385366e-05,3.5360363127943886e-05,0.0007005481822792605,-0.0013446256009025201,-0.0007133970485145888,-0.042014867605078464,-0.20366823198185285,True,False,False,True,2021
BTCUSDT,LONG,1d,2021-02-09 00:00:00+00:00,46451.32,39736.73,53165.909999999996,59880.5,73309.68,2160,2021-02-23 00:00:00+00:00,14.0,TP1+STOP,0.024649985398392103,0.003563182821417982,4.9299970796784205e-05,5.0725243925351393e-05,0.0007126365642835964,-0.0012848256833991245,-0.0006722143338376636,-0.027270374524502216,-0.18865558337255156,True,False,False,True,2021
SOLUSDT,LONG,1d,2021-02-23 00:00:00+00:00,14.3421,11.324380000000001,17.35982,20.37754,26.412979999999997,2160,2021-02-25 00:00:00+00:00,2.0,TP1+STOP,0.01725391332525047,0.00363039438575068,3.450782665050095e-05,3.595998440480122e-05,0.000726078877150136,-1.2140754313390083e-06,0.0006543969906634948,0.037927453229164465,0.1802550690448418,True,False,False,True,2021
BTCUSDT,LONG,1d,2021-03-14 00:00:00+00:00,61267.41,52376.9,70157.92,79048.43000000001,96829.45000000001,2160,2021-03-24 00:00:00+00:00,10.0,STOP,0.024896713881707982,0.0036127605807469852,4.9793427763415966e-05,4.2567906601921995e-05,-0.0036127605807469852,-0.0003219155813747457,-0.004027037496487069,-0.16174976005350644,-1.1146704594674322,False,False,False,True,2021
BNBUSDT,LONG,1d,2021-04-06 00:00:00+00:00,368.754,316.33050000000003,421.1775,473.60100000000006,578.4480000000001,2160,2021-04-12 00:00:00+00:00,6.0,TP1+TP2+TP3,0.025306040955553416,0.0035976050104770505,5.061208191110683e-05,7.075866996977832e-05,0.010073294029335746,-0.00040632261331704643,0.009545600664137814,0.3772064022540448,2.6533209277668997,True,True,True,True,2021
SOLUSDT,LONG,1d,2021-04-04 00:00:00+00:00,22.4916,19.17838,25.804819999999996,29.118039999999997,35.744479999999996,2160,2021-04-14 00:00:00+00:00,10.0,TP1+TP2+STOP,0.024378836938040424,0.00359122739688836,4.8757673876080846e-05,5.8094865107990585e-05,0.004668595615954869,-0.00045894285395391203,0.0041028002230168855,0.1682935175884018,1.1424506915300827,True,True,False,True,2021
BNBUSDT,LONG,1d,2021-04-13 00:00:00+00:00,598.212,513.7209,682.7031,767.1942,936.1764000000001,2160,2021-04-16 00:00:00+00:00,3.0,STOP,0.02583770035691016,0.003649301125062237,5.167540071382032e-05,4.437679846369584e-05,-0.003649301125062237,-0.0005808393202058518,-0.004326192644445604,-0.16743721711628978,-1.1854852466776973,False,False,False,True,2021
ETHUSDT,LONG,1d,2021-04-03 00:00:00+00:00,2138.01,1907.8370000000002,2368.183,2598.356,3058.702,2160,2021-04-18 00:00:00+00:00,15.0,TP1+STOP,0.03342696053277465,0.003598665949509281,6.68539210655493e-05,6.829338744535301e-05,0.0007197331899018556,-0.0013762094902689162,-0.0007916236088779629,-0.02368218935436225,-0.2199769636817526,True,False,False,True,2021
BTCUSDT,LONG,1d,2021-04-14 00:00:00+00:00,63645.05,58468.46000000001,68821.64,73998.23,84351.41,2160,2021-04-18 00:00:00+00:00,4.0,STOP,0.04485315423081928,0.003648145294248596,8.970630846163857e-05,8.241001787314137e-05,-0.003648145294248596,-0.000546716462345159,-0.004366978082928534,-0.0973616718337262,-1.197040613983549,False,False,False,True,2021
SOLUSDT,LONG,1d,2021-04-19 00:00:00+00:00,32.3739,25.78558,38.96222,45.55054,58.727180000000004,2160,2021-04-23 00:00:00+00:00,4.0,TP1+STOP,0.01775484861394596,0.00361323857243744,3.550969722789192e-05,3.6954992656866894e-05,0.0007226477144874885,-5.5023705862644564e-05,0.000595159318740085,0.033520945837443146,0.16471630832242526,True,False,False,True,2021
ETHUSDT,LONG,1d,2021-04-28 00:00:00+00:00,2668.28,2254.8190000000004,3081.741,3495.202,4322.124,2160,2021-05-12 00:00:00+00:00,14.0,TP1+TP2+TP3,0.023296799346055743,0.003609935222097961,4.659359869211149e-05,6.680923593586007e-05,0.010107818621874293,-0.00035250150805880593,0.009641914279187515,0.413872916015819,2.670938309409328,True,True,True,True,2021
BNBUSDT,LONG,1d,2021-05-04 00:00:00+00:00,676.991,554.1442000000001,799.8377999999999,922.6845999999999,1168.3781999999999,2160,2021-05-13 00:00:00+00:00,9.0,STOP,0.02002461369180809,0.0036336667891815524,4.0049227383616184e-05,3.2781893805253074e-05,-0.0036336667891815524,-0.0002618000845907501,-0.003968297994961172,-0.19817101373518983,-1.0920918799643133,False,False,False,True,2021
SOLUSDT,LONG,1d,2021-04-26 00:00:00+00:00,47.374,37.26086,57.487140000000004,67.60028,87.82656,2160,2021-05-19 00:00:00+00:00,23.0,TP1+STOP,0.01693561514051345,0.0036153216300530287,3.38712302810269e-05,3.5317358933048106e-05,0.0007230643260106058,-0.00046409237679888565,0.00018978335999764515,0.011206168681977461,0.05249418431268629,True,False,False,True,2021
BNBUSDT,LONG,1d,2021-08-11 00:00:00+00:00,372.03,335.436,408.62399999999997,445.21799999999996,518.406,2160,2021-08-12 00:00:00+00:00,1.0,TP1+STOP,0.036963515003070775,0.0036358435288078163,7.392703000614155e-05,7.538136741766468e-05,0.0007271687057615633,-5.037180984725108e-05,0.0005274884984905059,0.014270517791575947,0.14508008782860576,True,False,False,True,2021
SOLUSDT,LONG,1d,2021-08-14 00:00:00+00:00,44.896,38.0975,51.694500000000005,58.493,72.09,2160,2021-08-17 00:00:00+00:00,3.0,TP1+TP2+TP3,0.024022610649710143,0.003637689738552533,4.804522129942029e-05,6.841628383531447e-05,0.010185531267947088,-0.00011798947751910568,0.009951080285293247,0.41423808720861555,2.735549483462233,True,True,True,True,2021
BNBUSDT,LONG,1d,2021-08-14 00:00:00+00:00,411.26,368.844,453.676,496.092,580.924,2160,2021-08-31 00:00:00+00:00,17.0,TP1+TP2+STOP,0.03527056492543179,0.0036376897385525333,7.054112985086358e-05,7.999912317110017e-05,0.004728996660118293,-0.00041206144695558796,0.0041663949601407416,0.11812668634452658,1.1453409332810731,True,True,False,True,2021
SOLUSDT,LONG,1d,2021-08-28 00:00:00+00:00,87.954,70.62809999999999,105.2799,122.60579999999999,157.25759999999997,2160,2021-09-06 00:00:00+00:00,9.0,TP1+TP2+TP3,0.01873178704016576,0.0036899409814131028,3.746357408033152e-05,5.812724357624489e-05,0.010331834747956683,-0.00022137330997096157,0.010014870620329146,0.5346457654496442,2.7141004885378526,True,True,True,True,2021
ETHUSDT,LONG,1d,2021-08-14 00:00:00+00:00,3324.12,2901.5379999999996,3746.702,4169.284000000001,5014.448,2160,2021-09-07 00:00:00+00:00,24.0,TP1+STOP,0.02861484212227978,0.003637689738552533,5.722968424455956e-05,5.868476013998058e-05,0.0007275379477105066,-0.0005529593273540826,5.8664175971883853e-05,0.002050131037634046,0.016126767313373685,True,False,False,True,2021
BTCUSDT,LONG,1d,2021-08-21 00:00:00+00:00,49332.99,44092.714,54573.265999999996,59813.542,70294.094,2160,2021-09-07 00:00:00+00:00,17.0,STOP,0.034674521561613804,0.0036832161024662664,6.934904312322761e-05,6.198261091829508e-05,-0.0036832161024662664,-0.0003871262619539248,-0.004201674018461715,-0.12117467896408265,-1.1407622853430432,False,False,False,True,2021
SOLUSDT,LONG,1d,2021-09-07 00:00:00+00:00,164.272,135.44109999999998,193.1029,221.9338,279.5956,2160,2021-09-07 00:00:00+00:00,0.0,STOP,0.021331931433764426,0.0037439051206153155,4.2663862867528853e-05,3.517605262629822e-05,-0.0037439051206153155,-6.764686438135392e-06,-0.003828509722547278,-0.1794731871530146,-1.0225979556656226,False,False,False,True,2021
SOLUSDT,LONG,1d,2021-09-08 00:00:00+00:00,173.651,140.3585,206.94350000000003,240.23600000000002,306.821,2160,2021-09-10 00:00:00+00:00,2.0,TP1+STOP,0.019268924339031365,0.003694252630605076,3.853784867806273e-05,4.0015549730304764e-05,0.0007388505261210152,-3.974155117371342e-05,0.0006205555765389343,0.03220499315999334,0.16797865186531502,True,False,False,True,2021
BTCUSDT,LONG,1d,2021-10-07 00:00:00+00:00,55327.45,49650.13,61004.77,66682.09,78036.73,2160,2021-10-22 00:00:00+00:00,15.0,TP1+TP2+STOP,0.03602293791064921,0.003696424575122963,7.204587582129841e-05,8.165657971661813e-05,0.004805351947659852,-0.0003463541156356063,0.00430529537648633,0.11951538731141598,1.1647188489820903,True,True,False,True,2021
BNBUSDT,LONG,1d,2021-10-30 00:00:00+00:00,530.73,472.07500000000005,589.385,648.04,765.3499999999999,2160,2021-11-10 00:00:00+00:00,11.0,TP1+TP2+STOP,0.033641145877321726,0.0037179383329269213,6.728229175464346e-05,7.694893142025345e-05,0.004833319832804998,9.662689195604815e-06,0.004698751298825706,0.13967274824586884,1.2638056035551957,True,True,False,True,2021
SOLUSDT,LONG,1d,2021-11-03 00:00:00+00:00,221.027,187.32769999999996,254.7263,288.42560000000003,355.8242,2160,2021-11-10 00:00:00+00:00,7.0,TP1+STOP,0.02444937467712004,0.0037277201973363976,4.889874935424008e-05,5.038983743317464e-05,0.0007455440394672796,-0.0001458244368048569,0.000500431015875008,0.02046804969385643,0.13424586325781254,True,False,False,True,2021
ETHUSDT,LONG,1d,2021-10-21 00:00:00+00:00,4164.13,3739.1240000000003,4589.136,5014.142,5864.154,2160,2021-11-16 00:00:00+00:00,26.0,TP1+STOP,0.03642429251035171,0.003717593557995195,7.284858502070342e-05,7.433562244390149e-05,0.0007435187115990399,-0.0007224864808984435,-0.00012615197676400856,-0.003463402253541546,-0.03393377323153076,True,False,False,True,2021
BTCUSDT,LONG,1d,2021-11-09 00:00:00+00:00,67606.96,61453.67100000001,73760.24900000001,79913.538,92220.11600000001,2160,2021-11-16 00:00:00+00:00,7.0,STOP,0.04133160865021111,0.0037618217541455605,8.266321730042222e-05,7.513957379213112e-05,-0.0037618217541455605,-0.00027475242262377665,-0.004194376967861891,-0.10148109654668538,-1.1149855686914594,False,False,False,True,2021
BNBUSDT,SHORT,1d,2022-01-06 00:00:00+00:00,474.0,520.938,427.062,380.124,286.248,2160,2022-01-12 00:00:00+00:00,6.0,TP1+STOP,0.03534449699603734,0.0035000000000000005,7.068899399207468e-05,6.928899399207468e-05,0.0007000000000000001,-0.00011102675019642938,0.0004489952618194214,0.012703399396793245,0.12828436051983466,True,False,False,True,2022
ETHUSDT,SHORT,1d,2022-01-08 00:00:00+00:00,3196.58,3592.0409999999997,2801.119,2405.658,1614.736,2160,2022-02-01 00:00:00+00:00,24.0,TP1+TP2+STOP,0.028343746280240535,0.003506512037155396,5.668749256048107e-05,4.7570561263877036e-05,0.004558465648302016,4.107825199537446e-05,0.004495285846473032,0.15859885993993889,1.2819821517338248,True,True,False,True,2022
SOLUSDT,SHORT,1d,2022-01-08 00:00:00+00:00,136.43,160.348,112.512,88.594,40.75799999999998,2160,2022-02-01 00:00:00+00:00,24.0,TP1+TP2+STOP,0.02000139799436034,0.0035065120371553966,4.0002795988720684e-05,3.0885864692116656e-05,0.004558465648302016,6.56607049021253e-05,0.0045532376925233025,0.22764597223689806,1.2985090723421688,True,True,False,True,2022
BTCUSDT,SHORT,1d,2022-01-22 00:00:00+00:00,36426.46,40753.486,32099.434,27772.408,19118.356,2160,2022-02-04 00:00:00+00:00,13.0,STOP,0.02973466356424337,0.003532120945700836,5.9469327128486737e-05,6.653356901988841e-05,-0.003532120945700836,1.396617767911094e-05,-0.0036441576641701003,-0.12255587342687427,-1.0317193890559244,False,False,False,True,2022
BNBUSDT,SHORT,1d,2022-01-22 00:00:00+00:00,383.62,445.649,321.591,259.56200000000007,135.5040000000001,2160,2022-03-25 00:00:00+00:00,62.0,SIGNAL_INVALID,0.021844495916261017,0.0035321209457008355,4.3688991832522036e-05,4.715910178804298e-05,-0.0017350549777604728,-0.00030664738311032776,-0.0021325504544913655,-0.0976241549663729,-0.6037591824501439,False,False,False,True,2022
BNBUSDT,SHORT,1d,2022-05-09 00:00:00+00:00,355.75,392.422,319.078,282.406,209.06199999999998,2160,2022-05-22 00:00:00+00:00,13.0,TP1+TP2+STOP,0.034158907729564245,0.0035212240738118927,6.831781545912849e-05,5.916263286721757e-05,0.004577591295955459,-0.00025248349206325794,0.004197627355565855,0.12288529214102606,1.192093223144906,True,True,False,True,2022
BTCUSDT,SHORT,1d,2022-05-06 00:00:00+00:00,36533.7,40176.159999999996,32891.24,29248.78,21963.859999999997,2160,2022-06-13 00:00:00+00:00,38.0,TP1+TP2+TP3,0.03523545143509203,0.003513022837387544,7.047090287018406e-05,5.0797974980813825e-05,0.009836463944685125,8.50941863466556e-05,0.009800289253180784,0.278137184398903,2.7897026882036324,True,True,True,True,2022
ETHUSDT,SHORT,1d,2022-05-10 00:00:00+00:00,2227.62,2550.528,1904.7119999999998,1581.8039999999996,935.9879999999996,2160,2022-06-18 00:00:00+00:00,39.0,TP1+TP2+TP3,0.02457756347736125,0.0035626775964247783,4.9155126954722505e-05,2.920413241474373e-05,0.009975497269989385,3.484680911083531e-05,0.009931984819730753,0.404107788344408,2.787786587733257,True,True,True,True,2022
