variant,oos_days,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_win_rate,oos_profit_factor,oos_mean_r,oos_median_holding_days,recent_days,recent_total_return,recent_cagr,recent_sharpe,recent_max_drawdown,recent_trades,recent_win_rate,recent_profit_factor,recent_mean_r,recent_median_holding_days
frozen_20bps,2069,0.1984021254061603,0.03246010140916078,1.034070166881175,-0.04036000975411369,154,0.5974025974025974,1.885313759444008,0.3413330181102881,7.5,608,0.07192405060243412,0.04264907918798877,1.4525074855316227,-0.017919472663768476,37,0.7027027027027027,2.9484482567742947,0.5429950865752391,7.0
cost_30bps,2069,0.18433375326889312,0.030310459662532985,0.968305047042043,-0.04253169155122882,154,0.5844155844155844,1.8105246498621714,0.3193364539219059,7.5,608,0.0681350331816497,0.040431335575438876,1.384532497773661,-0.0185509586076531,37,0.7027027027027027,2.8021314809496802,0.5154456923154048,7.0
cost_40bps,2069,0.17042754750793532,0.028164830610149627,0.9023040024992245,-0.04469899039197178,154,0.5584415584415584,1.7374408736556712,0.2973398897335236,7.5,608,0.06435839638205043,0.03821771515027694,1.315730869646578,-0.01918218044908271,37,0.7027027027027027,2.6631911253832627,0.48789629805557067,7.0
entry_delay_1d,2069,0.14359728437717934,0.023965085290420296,0.735146952713565,-0.03590172641654166,160,0.5875,1.6372380580948314,0.24413683267940053,9.0,608,0.034122429601038506,0.02038103923309542,0.6410264713646179,-0.025468770670593055,42,0.6904761904761905,1.8706785537871822,0.23113079093242486,7.0
adverse_funding,2069,0.17590722193195707,0.029012799008103274,0.9286506585044733,-0.04290636210055809,154,0.5714285714285714,1.7616815038123277,0.30597686123428613,7.5,608,0.07033625131191434,0.04172010802651682,1.423203075332011,-0.01809260913786659,37,0.7027027027027027,2.899728306646002,0.5314517513270567,7.0
sma_180,2069,0.18879812997631107,0.030994881904383043,0.9870695653309535,-0.040360009754113246,155,0.5870967741935483,1.815160099748819,0.3243547752717225,8.0,608,0.06387359043610119,0.03793332660796289,1.284325729281695,-0.017919472663768476,39,0.6666666666666666,2.432092447719481,0.46014368382679677,7.0
sma_220,2069,0.17317234848154617,0.028589990646458174,0.928926178300483,-0.04036000975411591,153,0.5882352941176471,1.765280565662758,0.30322195642973754,7.0,608,0.04611644031880968,0.027481052792938332,1.0022106647376001,-0.017919472663768476,37,0.6756756756756757,2.1326638908829176,0.3519217713089921,6.0
entry_channel_50,2069,0.21238124131878888,0.034575618543681186,1.0980463427841534,-0.04256681708801757,157,0.6050955414012739,1.9420532855582562,0.3565612170079847,7.0,608,0.07731320102498818,0.04579801769271352,1.5337553579461425,-0.017919472663768476,37,0.7297297297297297,3.333856596411047,0.5815399029548729,7.0
entry_channel_60,2069,0.19646184056212834,0.03216486613910208,1.0313055488107,-0.03486732932075276,151,0.609271523178808,1.90335727706739,0.3448819377084949,7.0,608,0.0681786649149616,0.04045689142761821,1.3840714788868387,-0.017919472663767255,36,0.7222222222222222,2.8723150867200724,0.5301897589927409,7.0
without_BTCUSDT,2069,0.19290459085028355,0.031622566644893935,1.273158007636246,-0.025464199092870343,116,0.6293103448275862,2.2545997992578948,0.4391135398092436,7.0,608,0.05184864176096493,0.030862837738118598,1.3555070100039242,-0.014132009316634164,30,0.6666666666666666,2.5848104771695475,0.48633385908515386,7.0
without_ETHUSDT,2069,0.11667276177036201,0.019668208661216324,0.8017511722128585,-0.03600002510947797,119,0.5798319327731093,1.6469869945630076,0.2698255292768445,7.0,608,0.04510111635217684,0.026881280139574804,1.2189145900401999,-0.020251402598197688,27,0.6666666666666666,2.5583755247550175,0.47269863720016997,7.0
without_SOLUSDT,2069,0.1251504978336455,0.021030285790288428,0.8216513794348638,-0.03549390817591158,114,0.5701754385964912,1.7299833047078779,0.2999124125693102,7.0,608,0.06037014007798103,0.03587665473726642,1.5426493173105102,-0.013275194317866945,27,0.7407407407407407,3.2515591326082904,0.6258372987288481,7.0
without_BNBUSDT,2069,0.14978172502662557,0.024940276643500292,1.0016611696398052,-0.02461148643737887,113,0.6106194690265486,1.995982123342477,0.3580480595773007,9.0,608,0.05714828886355594,0.03398290080334965,1.4423698674295091,-0.012892875858272146,27,0.7407407407407407,3.658300700088071,0.593406243230127,7.0
