dataset,symbol,month,status,bytes,sha256,path
fundingRate,BNBUSDT,2020-02,DOWNLOADED_VERIFIED,695,98babcb280ea039fa506f7ad791889dfa3d4ca0ec968131e73a321d349370b22,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-02.zip
fundingRate,BNBUSDT,2020-03,DOWNLOADED_VERIFIED,854,59a4380336d1625bfd5b4065279fbadbaa0ae5c973773392876f97451433e903,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-03.zip
fundingRate,BNBUSDT,2020-04,DOWNLOADED_VERIFIED,811,8a89bb0860dbf13684c71afc86453ade0e4288b64c308491e621a48d61418bc9,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-04.zip
fundingRate,BNBUSDT,2020-05,DOWNLOADED_VERIFIED,772,b5130658f9e7e79fc09518ceeaa888f18a5e4192128466e5fa67fef5e73fd253,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-05.zip
fundingRate,BNBUSDT,2020-06,DOWNLOADED_VERIFIED,754,854819c6762a1f54f01421a3af1afbdbaf90c8d5c66a69b2dde645d5eaa97ed8,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-06.zip
fundingRate,BNBUSDT,2020-07,DOWNLOADED_VERIFIED,894,57c05c478122ad7ccc7b0792759919d5610560f0bc20fd33cbf77e70613d7989,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-07.zip
fundingRate,BNBUSDT,2020-08,DOWNLOADED_VERIFIED,949,24bbf156cf48214abb8a07c72f6bf75e7478f1015ec76525aa963b280226645d,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-08.zip
fundingRate,BNBUSDT,2020-09,DOWNLOADED_VERIFIED,948,96c54d80d6b4e2315fc21efbfbf0ab314b9b73c211215b7c7bf1612364048384,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-09.zip
fundingRate,BNBUSDT,2020-10,DOWNLOADED_VERIFIED,901,943d597fef613cfe4dc71fea17554bbdfd03ee801f02ae942f7bd5cca75b77db,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-10.zip
fundingRate,BNBUSDT,2020-11,DOWNLOADED_VERIFIED,938,2ddee7f807390da4b7037247ad251ac3b357093d143ff8e166da89f4f39ab943,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-11.zip
fundingRate,BNBUSDT,2020-12,DOWNLOADED_VERIFIED,925,469bf2f16286fd6a0511930ca5ed394717824e263ff880ca7e25c62bc728786a,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2020-12.zip
fundingRate,BNBUSDT,2021-01,DOWNLOADED_VERIFIED,976,43cbedd92154495a5434b42ba1a53b22319b039564c84b4c73209944c2409051,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\fundingRate\BNBUSDT\BNBUSDT-fundingRate-2021-01.zip
