dataset,symbol,month,status,bytes,sha256,path
klines,BNBUSDT,2020-02,DOWNLOADED_VERIFIED,21649,a4c178a13a55264355c42c41c39110422fd463ff36ff8484e4d173dc559a61a1,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-02.zip
klines,BNBUSDT,2020-03,DOWNLOADED_VERIFIED,33836,5dd7f5a654fb2ed8b1ee5c3d6f0df82d882550485f618e4c7de2fa5f4afbf0f2,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-03.zip
klines,BNBUSDT,2020-04,DOWNLOADED_VERIFIED,32442,ae462072c3ab11fd6e0d5b6e48fb14b2ea6d0d3547e67d2e27673b927828fd73,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-04.zip
klines,BNBUSDT,2020-05,DOWNLOADED_VERIFIED,33040,26869dd5c8f0950f40e8701417acc41f8045c9fcc69e4f6a77de85097d899650,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-05.zip
klines,BNBUSDT,2020-06,DOWNLOADED_VERIFIED,31311,a5c03af97ad31d8c7d802f63c594ae2d0ed039df9b8f949ae446ca78288e2aef,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-06.zip
klines,BNBUSDT,2020-07,DOWNLOADED_VERIFIED,33454,128fb0ff6d0ccdae9a79690821658a7b80d892d648832622bf50f2afe994fc34,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-07.zip
klines,BNBUSDT,2020-08,DOWNLOADED_VERIFIED,33782,c32f0ebc1c8348043067c8772931b6d7bb4e4e5adef4dc0395421d2e3595d560,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-08.zip
klines,BNBUSDT,2020-09,DOWNLOADED_VERIFIED,34030,ed9b9d1100dd508f1ab95e815c43e33e1a58449a2669c1cd23c80ee73ae2365b,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-09.zip
klines,BNBUSDT,2020-10,DOWNLOADED_VERIFIED,34296,ae31a5fc334e02054a6b8a129d28431670e7fb3fe8ee7dac2389db1cc7e7a684,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-10.zip
klines,BNBUSDT,2020-11,DOWNLOADED_VERIFIED,33367,be9708de81263420016da31d5ed02d718cc8b7700f40a0691499f0b448c3cc6a,C:\Users\vntfadmin\OneDrive - THG\Documents\Build Signal Bot\core4_portfolio_allocator\data\binance_usdm\klines\BNBUSDT\BNBUSDT-1h-2020-11.zip
