time,symbol,event,price,fee
2019-04-08 00:00:00+00:00,BNBUSDT,ENTRY,18.9507,8.846868464296386e-05
2019-04-11 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,17.5555,7.846868464296386e-05
2019-04-15 00:00:00+00:00,BNBUSDT,ENTRY,19.3734,8.468392359790096e-05
2019-04-18 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,21.8888,2.3658063556052026e-05
2019-04-19 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,24.3188,2.614514621262881e-05
2019-04-24 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,22.9703,4.731612711210405e-05
2019-04-29 00:00:00+00:00,BNBUSDT,ENTRY,23.0166,6.977764375771825e-05
2019-05-08 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,20.6673,5.976895409760148e-05
2019-05-13 00:00:00+00:00,BTCUSDT,ENTRY,6968.24,0.00011988908718205025
2019-05-13 00:00:00+00:00,BNBUSDT,ENTRY,20.9026,6.294003686263622e-05
2019-05-13 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,7790.71,3.246160948197198e-05
2019-05-14 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,7947.56,3.495094716843138e-05
2019-05-14 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,23.6553,1.822434690211846e-05
2019-05-15 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,26.8116,2.0713684588577873e-05
2019-05-17 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,7355.26,6.492321896394396e-05
2019-05-17 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,25.7795,3.644869380423692e-05
2019-05-20 00:00:00+00:00,BTCUSDT,ENTRY,8147.94,8.580306876162013e-05
2019-05-20 00:00:00+00:00,ETHUSDT,ENTRY,259.37,6.971351020096316e-05
2019-05-20 00:00:00+00:00,BNBUSDT,ENTRY,29.1122,6.776427983439505e-05
2019-05-24 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,33.9435,1.946054798707653e-05
2019-06-04 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,29.2596,5.0823209875796285e-05
2019-06-10 00:00:00+00:00,BNBUSDT,ENTRY,30.1174,6.107526485050608e-05
2019-06-13 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,35.251,1.777433499008066e-05
2019-06-14 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,32.3803,4.5806448637879554e-05
2019-06-16 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,8953.33,2.3970245218882803e-05
2019-06-17 00:00:00+00:00,BTCUSDT,MAX_HOLD,8953.0,7.071065274990841e-05
2019-06-17 00:00:00+00:00,ETHUSDT,MAX_HOLD,267.73,7.196051234184318e-05
2019-06-17 00:00:00+00:00,BTCUSDT,ENTRY,8953.0,0.00010334758874721031
2019-06-17 00:00:00+00:00,ETHUSDT,ENTRY,267.73,8.316900304381913e-05
2019-06-17 00:00:00+00:00,BNBUSDT,ENTRY,32.1956,6.864602467088722e-05
2019-06-21 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,10159.86,2.83751003452842e-05
2019-06-21 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,38.6766,1.969970932620343e-05
2019-06-22 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,10729.5,3.091330350376583e-05
2019-06-22 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,310.79,2.3330453919436407e-05
