symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,initial_notional,initial_risk_cash,exit_time,holding_days,exit_reason,entry_fee,exit_fees,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only
BNBUSDT,LONG,1d,2019-04-08 00:00:00+00:00,18.9507,16.80862,21.09278,23.23486,25.376940000000005,672,0.04423434232148193,0.005,2019-04-11 00:00:00+00:00,3.0,STOP,8.846868464296386e-05,7.846868464296386e-05,-0.005166937369285927,-0.11680827832217278,-1.0333874738571853,False,False,False,True
BNBUSDT,LONG,1d,2019-04-15 00:00:00+00:00,19.3734,17.09749,21.64931,23.92522,26.20113,672,0.04234196179895048,0.00497416531315357,2019-04-24 00:00:00+00:00,9.0,TP1+TP2+STOP,8.468392359790096e-05,9.711933688078488e-05,0.006035903380963278,0.14255133972353848,1.2134504989213108,True,True,False,True
BNBUSDT,LONG,1d,2019-04-29 00:00:00+00:00,23.0166,19.71517,26.31803,29.619459999999997,32.92089,672,0.034888821878859125,0.0050043448300583875,2019-05-08 00:00:00+00:00,9.0,STOP,6.977764375771825e-05,5.976895409760148e-05,-0.005133891427913703,-0.1471500369298679,-1.0258868248001616,False,False,False,True
BTCUSDT,LONG,1d,2019-05-13 00:00:00+00:00,6968.24,6389.495,7546.985,8125.73,8704.475,672,0.05994454359102513,0.004978675372918819,2019-05-17 00:00:00+00:00,4.0,TP1+TP2+STOP,0.00011988908718205025,0.00013233577561434732,0.00597111935335213,0.09961072343949122,1.19933896189168,True,True,False,True
BNBUSDT,LONG,1d,2019-05-13 00:00:00+00:00,20.9026,17.59573,24.20947,27.51634,30.823209999999996,672,0.03147001843131811,0.004978675372918819,2019-05-17 00:00:00+00:00,4.0,TP1+TP2+STOP,6.294003686263622e-05,7.538672529493326e-05,0.006085017453990953,0.1933591957459837,1.2222161515269723,True,True,False,True
BNBUSDT,LONG,1d,2019-05-20 00:00:00+00:00,29.1122,24.78263,33.441770000000005,37.77134,42.10091,672,0.033882139917197525,0.005038956056955534,2019-06-04 00:00:00+00:00,15.0,TP1+STOP,6.776427983439505e-05,7.028375786287282e-05,0.0011216909765416146,0.03310567099016904,0.22260384172100212,True,False,False,True
BNBUSDT,LONG,1d,2019-06-10 00:00:00+00:00,30.1174,25.17532,35.05948,40.00156,44.943639999999995,672,0.030537632425253036,0.005011037554908278,2019-06-14 00:00:00+00:00,4.0,TP1+STOP,6.107526485050608e-05,6.358078362796022e-05,0.0011281033402486026,0.03694141459754161,0.2251237049987049,True,False,False,True
BTCUSDT,LONG,1d,2019-05-20 00:00:00+00:00,8147.94,7190.932,9104.948,10061.955999999998,11018.964,672,0.04290153438081006,0.005038956056955534,2019-06-17 00:00:00+00:00,28.0,TP1+MAX_HOLD,8.580306876162013e-05,9.468089796879121e-05,0.004258430636855135,0.0992605672108534,0.845101760904821,True,False,False,True
ETHUSDT,LONG,1d,2019-05-20 00:00:00+00:00,259.37,221.875,296.865,334.36,371.85499999999996,672,0.03485675510048158,0.005038956056955535,2019-06-17 00:00:00+00:00,28.0,MAX_HOLD,6.971351020096316e-05,7.196051234184318e-05,0.0009818270478972053,0.02816748274665534,0.19484731297506316,False,False,False,True
BTCUSDT,LONG,1d,2019-06-17 00:00:00+00:00,8953.0,8073.4619999999995,9832.538,10712.076000000001,11591.614000000001,672,0.051673794373605156,0.005076406316963248,2019-06-25 00:00:00+00:00,8.0,TP1+TP2+TP3,0.00010334758874721031,0.00012619141717354492,0.011192375207246554,0.21659673617781766,2.204783169118333,True,True,True,True
ETHUSDT,LONG,1d,2019-06-17 00:00:00+00:00,267.73,235.04700000000003,300.413,333.096,365.77900000000005,672,0.04158450152190957,0.005076406316963247,2019-06-26 00:00:00+00:00,9.0,TP1+TP2+TP3,8.316900304381913e-05,0.00010601283147015374,0.01123273237865333,0.270118240391439,2.2127331181348096,True,True,True,True
BNBUSDT,LONG,1d,2019-06-17 00:00:00+00:00,32.1956,27.43384,36.95736,41.71912,46.48088,672,0.03432301233544361,0.005076406316963248,2019-06-30 00:00:00+00:00,13.0,TP1+STOP,6.864602467088722e-05,7.118422782936884e-05,0.0011292713267405542,0.03290128837480892,0.22245487382816403,True,False,False,True
BTCUSDT,LONG,1d,2019-07-01 00:00:00+00:00,10854.1,9132.283,12575.917000000001,14297.734,16019.551000000001,672,0.03274339243121028,0.005194178211526447,2019-07-13 00:00:00+00:00,12.0,TP1+STOP,6.548678486242056e-05,6.808387396818379e-05,0.0011649738940510076,0.035578900277314585,0.22428454446668844,True,False,False,True
ETHUSDT,LONG,1d,2019-07-01 00:00:00+00:00,292.89,252.15999999999997,333.62,374.35,415.08,672,0.03735140820952567,0.005194178211526447,2019-07-14 00:00:00+00:00,13.0,STOP,7.470281641905135e-05,6.431445999599844e-05,-0.005333195487941497,-0.1427843217590222,-1.0267640559783944,False,False,False,True
BNBUSDT,LONG,1d,2019-07-01 00:00:00+00:00,32.1141,27.3795,36.8487,41.583299999999994,46.317899999999995,672,0.035231351857132914,0.005194178211526448,2019-07-15 00:00:00+00:00,14.0,STOP,7.046270371426583e-05,6.007434729121294e-05,-0.005324715262531926,-0.15113570674563506,-1.025131415536687,False,False,False,True
BTCUSDT,LONG,1d,2019-07-15 00:00:00+00:00,10174.18,7787.831,12560.529,14946.878,17333.227,672,0.021971503048289296,0.005153405417221055,2019-08-12 00:00:00+00:00,28.0,MAX_HOLD,4.3943006096578594e-05,4.98381061460391e-05,0.0028537689124876345,0.12988501088048363,0.5537637118460036,False,False,False,True
ETHUSDT,LONG,1d,2019-07-15 00:00:00+00:00,225.83,174.61700000000002,277.043,328.25600000000003,379.46900000000005,672,0.022724572771972568,0.005153405417221055,2019-08-12 00:00:00+00:00,28.0,MAX_HOLD,4.544914554394514e-05,4.355333475253583e-05,-0.0010369078760011335,-0.04562936722313246,-0.20120828695838958,False,False,False,True
BTCUSDT,LONG,1d,2019-08-12 00:00:00+00:00,11539.08,10441.464,12636.696,13734.312,14831.928,672,0.054187851347443354,0.005154436284745005,2019-08-14 00:00:00+00:00,2.0,STOP,0.00010837570269488671,9.80668301253967e-05,-0.00536087881756529,-0.09893137823812648,-1.0400514278217523,False,False,False,True
ETHUSDT,LONG,1d,2019-08-12 00:00:00+00:00,216.41,193.24699999999999,239.573,262.736,285.899,672,0.04815747340075405,0.0051544362847450054,2019-08-14 00:00:00+00:00,2.0,STOP,9.63149468015081e-05,8.600607423201809e-05,-0.005336757305778528,-0.11081888082805783,-1.0353716703363114,False,False,False,True
BNBUSDT,LONG,1d,2019-07-22 00:00:00+00:00,30.4389,25.55939,35.31841,40.19792,45.07743000000001,672,0.032129907093116306,0.005150587010697888,2019-08-19 00:00:00+00:00,28.0,MAX_HOLD,6.425981418623262e-05,5.890688800129783e-05,-0.0027996297946549227,-0.08713469934853099,-0.5435554799559792,False,False,False,True
BTCUSDT,LONG,1d,2019-08-19 00:00:00+00:00,10306.17,9114.728,11497.612000000001,12689.054,13880.496000000001,672,0.044014734549555276,0.005088311502836774,2019-09-16 00:00:00+00:00,28.0,MAX_HOLD,8.802946909911056e-05,8.800529684137072e-05,-0.00018812089481039978,-0.0042740436068880155,-0.03697118281880362,False,False,False,True
BTCUSDT,LONG,1d,2019-09-16 00:00:00+00:00,10303.34,9488.784,11117.896,11932.452000000001,12747.008000000002,672,0.06435028662478275,0.005087370898362722,2019-09-23 00:00:00+00:00,7.0,EARLY_RISK_OFF,0.0001287005732495655,0.00012526188435743217,-0.001973306903673669,-0.030665083361317992,-0.38788343588409135,False,False,False,True
BTCUSDT,LONG,1d,2019-10-28 00:00:00+00:00,9528.23,8587.65,10468.81,11409.39,12349.970000000001,672,0.051435953778214166,0.005077504363844352,2019-11-04 00:00:00+00:00,7.0,EARLY_RISK_OFF,0.00010287190755642834,9.92899397859194e-05,-0.0019931457325968096,-0.03875004906472662,-0.39254436624210615,False,False,False,True
ETHUSDT,LONG,1d,2020-02-10 00:00:00+00:00,228.53,209.353,247.707,266.884,286.061,672,0.06038924776023354,0.005067538635181368,2020-02-14 00:00:00+00:00,4.0,TP1+TP2+TP3,0.0001207784955204671,0.00014358241937878323,0.011137601014258827,0.18443019953616582,2.1978324816186054,True,True,True,True
ETHUSDT,LONG,1d,2020-02-17 00:00:00+00:00,258.89,226.289,291.491,324.092,356.693,672,0.040684400628662055,0.005123226640252662,2020-02-26 00:00:00+00:00,9.0,STOP,8.136880125732412e-05,7.11223479768188e-05,-0.005275717789486803,-0.1296742168488547,-1.0297646697954046,False,False,False,True
BTCUSDT,LONG,1d,2020-06-01 00:00:00+00:00,9448.27,8516.87,10379.67,11311.07,12242.470000000001,672,0.051703238713448216,0.005096848051305228,2020-06-02 00:00:00+00:00,1.0,TP1+STOP,0.00010340647742689643,0.00010595490145254904,0.0010648506339468598,0.020595433873079366,0.20892336267983647,True,False,False,True
ETHUSDT,LONG,1d,2020-06-08 00:00:00+00:00,244.57,218.856,270.284,295.998,321.712,672,0.048527583437249805,0.005102172304474962,2020-06-15 00:00:00+00:00,7.0,STOP,9.705516687449961e-05,8.685082226554969e-05,-0.005286078293615008,-0.10892935355930809,-1.0360446449404987,False,False,False,True
BNBUSDT,LONG,1d,2020-06-08 00:00:00+00:00,17.4134,15.804559999999999,19.02224,20.63108,22.23992,672,0.05522374332235914,0.005102172304474963,2020-06-15 00:00:00+00:00,7.0,STOP,0.00011044748664471828,0.00010024314203576836,-0.005312862933155444,-0.09620613550484104,-1.0412942989980347,False,False,False,True
ETHUSDT,LONG,1d,2020-06-22 00:00:00+00:00,228.03,207.335,248.725,269.41999999999996,290.115,672,0.0554882970873611,0.005035873824597367,2020-06-25 00:00:00+00:00,3.0,TP1+STOP,0.0001109765941747222,0.00011349453108702089,0.0010344973308875972,0.01864352278209004,0.20542558589031137,True,False,False,True
BTCUSDT,LONG,1d,2020-06-08 00:00:00+00:00,9746.99,8842.294,10651.686,11556.382,12461.078000000001,672,0.05496964994870589,0.005102172304474963,2020-06-27 00:00:00+00:00,19.0,STOP,0.00010993929989741177,9.973495528846185e-05,-0.005311846559660836,-0.09663235193634136,-1.0410950949269147,False,False,False,True
BNBUSDT,LONG,1d,2020-07-13 00:00:00+00:00,18.3036,16.980339999999998,19.62686,20.95012,22.273379999999996,672,0.06994516534254593,0.005056690459318244,2020-07-16 00:00:00+00:00,3.0,STOP,0.00013989033068509185,0.00012977694976645538,-0.005326357739769788,-0.07615047750169368,-1.0533288091531514,False,False,False,True
ETHUSDT,LONG,1d,2020-06-29 00:00:00+00:00,224.89,204.67,245.10999999999999,265.33,285.54999999999995,672,0.05591987560586737,0.005027790852197244,2020-07-24 00:00:00+00:00,25.0,TP1+TP2+TP3,0.00011183975121173474,0.00013446481004662233,0.011066224856185435,0.1978943038818977,2.2010113748763587,True,True,True,True
BTCUSDT,LONG,1d,2020-06-29 00:00:00+00:00,9116.16,8478.894,9753.426,10390.692,11027.957999999999,672,0.07192309938889954,0.005027790852197244,2020-07-27 00:00:00+00:00,28.0,TP1+MAX_HOLD,0.0001438461987777991,0.0001560096599387665,0.005781874721767142,0.08038967690343311,1.1499831420474358,True,False,False,True
BTCUSDT,LONG,1d,2020-07-27 00:00:00+00:00,9931.54,9545.117,10317.963000000002,10704.386,11090.809000000001,672,0.13070093954011244,0.005085399561388159,2020-07-27 00:00:00+00:00,0.0,TP1+TP2+TP3,0.0002614018790802249,0.00028428617710647155,0.010896460956936633,0.08336941566967453,2.142695146251641,True,True,True,True
ETHUSDT,LONG,1d,2020-07-27 00:00:00+00:00,311.02,288.419,333.621,356.222,378.823,672,0.06998190219826315,0.00508539956138816,2020-08-01 00:00:00+00:00,5.0,TP1+TP2+TP3,0.0001399638043965263,0.00016284810242277303,0.011139337106304064,0.15917454022249378,2.1904546480244242,True,True,True,True
BNBUSDT,LONG,1d,2020-07-27 00:00:00+00:00,19.5524,17.71973,21.38507,23.21774,25.05041,672,0.05425513943267792,0.005085399561388161,2020-08-02 00:00:00+00:00,6.0,TP1+STOP,0.00010851027886535585,0.00011105297864604992,0.0010517866328356349,0.019385935486180738,0.20682477751040843,True,False,False,True
BNBUSDT,LONG,1d,2020-08-03 00:00:00+00:00,20.9899,18.86524,23.114559999999997,25.23922,27.363879999999998,672,0.05138001314264035,0.005200837484868541,2020-08-10 00:00:00+00:00,7.0,TP1+EARLY_RISK_OFF,0.00010276002628528071,0.00011062025108873712,0.003716732124354186,0.07233809213002447,0.7146410813965536,True,False,False,True
ETHUSDT,LONG,1d,2020-08-03 00:00:00+00:00,372.45,330.94899999999996,413.951,455.452,496.95300000000003,672,0.04667482521479691,0.005200837484868541,2020-08-25 00:00:00+00:00,22.0,TP1+STOP,9.334965042959383e-05,9.59500691720281e-05,0.0011109096516155165,0.023801045777956862,0.2136020698296433,True,False,False,True
BTCUSDT,LONG,1d,2020-08-03 00:00:00+00:00,11071.36,10243.486,11899.234,12727.108,13554.982,672,0.06955206238687794,0.005200837484868541,2020-08-31 00:00:00+00:00,28.0,TP1+MAX_HOLD,0.0001391041247737559,0.0001477336273463269,0.0040279135341654065,0.057912208436903714,0.7744740238248798,True,False,False,True
ETHUSDT,LONG,1d,2020-08-31 00:00:00+00:00,428.94,378.561,479.319,529.698,580.077,672,0.044810708862021695,0.005263017442439017,2020-09-02 00:00:00+00:00,2.0,TP1+STOP,8.962141772404339e-05,9.22529264452629e-05,0.0011338800164404546,0.02530377325500086,0.21544295242065273,True,False,False,True
BNBUSDT,LONG,1d,2020-08-24 00:00:00+00:00,21.8575,19.32841,24.38659,26.915680000000002,29.444770000000005,672,0.045399736236283475,0.005253117644644729,2020-09-03 00:00:00+00:00,10.0,TP1+STOP,9.079947247256695e-05,9.342603129488931e-05,0.0011290539073937171,0.02486917328148213,0.21493025356946402,True,False,False,True
BTCUSDT,LONG,1d,2020-08-31 00:00:00+00:00,11711.17,10935.515,12486.825,13262.48,14038.135,672,0.07946328197635351,0.005263017442439016,2020-09-03 00:00:00+00:00,3.0,STOP,0.00015892656395270703,0.00014840052906782896,-0.005570344535459556,-0.07009960319933885,-1.0583937059646369,False,False,False,True
