symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,exit_time,holding_days,exit_reason,initial_notional,initial_risk_cash,entry_fee,exit_fees,price_pnl,funding_pnl,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only,fold_year
ETHUSDT,LONG,1d,2022-03-28 00:00:00+00:00,3295.01,3012.38,3577.6400000000003,3860.2700000000004,4425.530000000001,2160,2022-04-06 00:00:00+00:00,9.0,TP1+STOP,0.0408043555178148,0.0034999999999999996,8.16087110356296e-05,8.30087110356296e-05,0.0007,-0.00010549604263538897,0.0004298865352933518,0.010535310013796624,0.1228247243695291,True,False,False,True,2022
SOLUSDT,LONG,1d,2022-04-04 00:00:00+00:00,136.87,120.60400000000001,153.136,169.402,201.934,2160,2022-04-06 00:00:00+00:00,2.0,STOP,0.029531634561474288,0.003509619111397242,5.9063269122948577e-05,5.20440309001541e-05,-0.003509619111397242,-2.4066329502351446e-05,-0.003644792740922696,-0.12341994593409798,-1.0385151850485677,False,False,False,True,2022
BNBUSDT,LONG,1d,2022-08-05 00:00:00+00:00,311.72,277.85900000000004,345.581,379.442,447.16400000000004,2160,2022-08-19 00:00:00+00:00,14.0,STOP,0.03211696267185064,0.003488747828280297,6.423392534370129e-05,5.7256429687140695e-05,-0.003488747828280297,3.229310750040503e-05,-0.0035779450758107343,-0.11140359418067493,-1.0255671237707098,False,False,False,True,2022
ETHUSDT,LONG,1d,2022-08-11 00:00:00+00:00,1853.25,1605.666,2100.834,2348.418,2843.5860000000002,2160,2022-08-19 00:00:00+00:00,8.0,STOP,0.026158588995385673,0.003494643516974811,5.231717799077135e-05,4.532789095682173e-05,-0.003494643516974811,-2.6044605667676785e-05,-0.003618333191590081,-0.1383229497672198,-1.0353940749648605,False,False,False,True,2022
BNBUSDT,LONG,1d,2022-10-30 00:00:00+00:00,304.41,287.721,321.09900000000005,337.788,371.16600000000005,2160,2022-11-01 00:00:00+00:00,2.0,TP1+TP2+STOP,0.0631758978771032,0.003463560854344393,0.00012635179575420642,0.00013535705397550184,0.004502629110647707,1.0299641094660774e-05,0.0042512199020126595,0.06729180027298712,1.2274130817364721,True,True,False,True,2022
BNBUSDT,LONG,1d,2022-11-05 00:00:00+00:00,354.37,329.458,379.282,404.194,454.018,2160,2022-11-07 00:00:00+00:00,2.0,STOP,0.04948036395080245,0.0034784401240014378,9.89607279016049e-05,9.200384765360202e-05,-0.0034784401240014378,2.8654355774079976e-05,-0.003640750343782565,-0.07357970016959668,-1.046661783441715,False,False,False,True,2022
ETHUSDT,LONG,1d,2023-01-12 00:00:00+00:00,1389.25,1324.548,1453.952,1518.654,1648.0580000000002,2160,2023-01-20 00:00:00+00:00,8.0,TP1+TP2+TP3,0.07515759639640279,0.003500339609170454,0.00015031519279280558,0.00016991709460416012,0.009800950905677277,-0.00021696663887129698,0.009263751979409015,0.12325769348116616,2.646529483921828,True,True,True,True,2023
SOLUSDT,LONG,1d,2023-01-10 00:00:00+00:00,16.253,13.711500000000001,18.7945,21.336,26.419,2160,2023-01-21 00:00:00+00:00,11.0,TP1+TP2+TP3,0.0223826480424946,0.0035000000000000005,4.47652960849892e-05,6.43652960849892e-05,0.009800000000000005,-4.26844931959473e-05,0.009648184914634081,0.43105645481787985,2.756624261324023,True,True,True,True,2023
ETHUSDT,LONG,1d,2023-01-21 00:00:00+00:00,1659.01,1531.554,1786.466,1913.922,2168.834,2160,2023-01-24 00:00:00+00:00,3.0,STOP,0.04639237130195525,0.00356416542194562,9.278474260391049e-05,8.565641176001926e-05,-0.00356416542194562,-5.417695209076224e-05,-0.003796783528400312,-0.0818406867734371,-1.0652657996798895,False,False,False,True,2023
BNBUSDT,LONG,1d,2023-03-18 00:00:00+00:00,338.62,313.452,363.788,388.956,439.29200000000003,2160,2023-03-27 00:00:00+00:00,9.0,STOP,0.04780213073404157,0.003552903036779749,9.560426146808313e-05,8.849845539452364e-05,-0.003552903036779749,0.001000269482889798,-0.0027367362707525576,-0.05725134484023391,-0.7702817224173554,False,False,False,True,2023
ETHUSDT,LONG,1d,2023-03-18 00:00:00+00:00,1789.21,1625.754,1952.6660000000002,2116.1220000000003,2443.034,2160,2023-04-19 00:00:00+00:00,32.0,TP1+TP2+STOP,0.0388905249268102,0.003552903036779748,7.77810498536204e-05,8.701859774924775e-05,0.004618773947813673,-0.0002077130377990712,0.004246261262411733,0.10918498195647809,1.1951525888700936,True,True,False,True,2023
BNBUSDT,LONG,1d,2023-04-17 00:00:00+00:00,347.86,330.438,365.28200000000004,382.704,417.548,2160,2023-04-19 00:00:00+00:00,2.0,STOP,0.07117510705009815,0.0035646889985247276,0.0001423502141001963,0.00013522083610314686,-0.0035646889985247276,-7.50225874592119e-05,-0.003917282636187283,-0.05503725668343594,-1.0989128750947077,False,False,False,True,2023
BTCUSDT,SHORT,1d,2023-06-06 00:00:00+00:00,25714.6,27330.67,24098.53,22482.459999999995,19250.319999999996,2160,2023-06-06 00:00:00+00:00,0.0,STOP,0.056399029493175185,0.0035444758850239014,0.00011279805898635038,0.00011988701075639817,-0.0035444758850239014,-3.5320925578688907e-06,-0.003780693047324519,-0.06703471817333344,-1.066643749305414,False,False,False,True,2023
BTCUSDT,SHORT,1d,2023-06-15 00:00:00+00:00,25115.9,26915.340000000004,23316.46,21517.02,17918.14,2160,2023-06-19 00:00:00+00:00,4.0,STOP,0.04928775485756467,0.0035312434593582657,9.857550971512934e-05,0.00010563799663384586,-0.0035312434593582657,4.031565269831609e-05,-0.003695141313008925,-0.07497077770507934,-1.0464136374444273,False,False,False,True,2023
SOLUSDT,LONG,1d,2023-07-14 00:00:00+00:00,26.018,22.724400000000003,29.3116,32.605199999999996,39.1924,2160,2023-07-15 00:00:00+00:00,1.0,TP1+TP2+STOP_GAP,0.02779311442561237,0.003518310464762735,5.558622885122474e-05,6.191200920640247e-05,0.0031628901775888657,-1.6363614168480175e-05,0.0030290283253627585,0.10898484707318006,0.8609326424429198,True,True,False,True,2023
