symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,exit_time,holding_days,exit_reason,initial_notional,initial_risk_cash,entry_fee,exit_fees,price_pnl,funding_pnl,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only,fold_year
BTCUSDT,LONG,1d,2021-01-04 00:00:00+00:00,33053.93,29377.28,36730.58,40407.23,44083.880000000005,672,2021-01-04 00:00:00+00:00,0.0,STOP,0.03146580582867555,0.0035,6.293161165735111e-05,5.5931611657351095e-05,-0.0035,-0.00013927109932962068,-0.003758134322644323,-0.11943550224350027,-1.0737526636126637,False,False,False,True,2021
ETHUSDT,LONG,1d,2021-01-04 00:00:00+00:00,980.23,859.664,1100.796,1221.362,1341.928,672,2021-01-05 00:00:00+00:00,1.0,TP1+STOP,0.02845582502529734,0.0035,5.691165005059468e-05,5.866165005059469e-05,0.000875,-0.00028847753563722347,0.00047094916426158715,0.016550184851182894,0.1345569040747392,True,False,False,True,2021
BNBUSDT,LONG,1d,2021-01-04 00:00:00+00:00,41.301,35.9403,46.6617,52.022400000000005,57.3831,672,2021-01-11 00:00:00+00:00,7.0,STOP,0.026965414964463592,0.0035,5.3930829928927184e-05,4.693082992892718e-05,-0.0035,-0.0007235772762885444,-0.004324438936146399,-0.16036982712283,-1.235553981756114,False,False,False,True,2021
BTCUSDT,LONG,1d,2021-01-11 00:00:00+00:00,38200.01,32391.123,44008.897000000004,49817.784,55626.671,672,2021-01-11 00:00:00+00:00,0.0,STOP,0.022939333527928367,0.003488271241788871,4.5878667055856735e-05,3.8902124572278994e-05,-0.003488271241788871,-4.7093910636015994e-05,-0.0036201459440530228,-0.15781391118645788,-1.0378051742892915,False,False,False,True,2021
ETHUSDT,LONG,1d,2021-01-11 00:00:00+00:00,1257.95,1036.446,1479.4540000000002,1700.958,1922.4620000000002,672,2021-01-11 00:00:00+00:00,0.0,STOP,0.019810345675962095,0.003488271241788871,3.962069135192419e-05,3.264414886834645e-05,-0.003488271241788871,-4.852366610456086e-05,-0.0036090597481137025,-0.18218055389578292,-1.0346270395712944,False,False,False,True,2021
BNBUSDT,LONG,1d,2021-01-18 00:00:00+00:00,45.861,38.671099999999996,53.0509,60.24079999999999,67.4307,672,2021-01-21 00:00:00+00:00,3.0,STOP,0.021993539057293305,0.003448057095746564,4.398707811458661e-05,3.7090963923093484e-05,-0.003448057095746564,-0.00017805957918769116,-0.003707194716971935,-0.16855835285602147,-1.0751546781359962,False,False,False,True,2021
BNBUSDT,LONG,1d,2021-01-25 00:00:00+00:00,41.85,34.425200000000004,49.2748,56.699600000000004,64.12440000000001,672,2021-02-05 00:00:00+00:00,11.0,TP1+TP2+TP3,0.01935776747616636,0.0034343501065003572,3.871553495233272e-05,5.417011043158434e-05,0.007727287739625808,2.739956612781003e-05,0.007661801660369702,0.39579986017514945,2.230932031614321,True,True,True,True,2021
BNBUSDT,LONG,1d,2021-02-08 00:00:00+00:00,68.259,58.3965,78.1215,87.984,97.84649999999999,672,2021-02-09 00:00:00+00:00,1.0,TP1+TP2+TP3,0.02405751576314773,0.0034759848403000987,4.811503152629546e-05,6.375696330764591e-05,0.007820965890675222,-0.00018591703314140248,0.007523176862699878,0.31271628113091304,2.1643295953069708,True,True,True,True,2021
BTCUSDT,LONG,1d,2021-01-18 00:00:00+00:00,35875.72,28090.882,43660.558000000005,51445.396,59230.234000000004,672,2021-02-15 00:00:00+00:00,28.0,TP1+MAX_HOLD,0.015890058458636766,0.003448057095746564,3.1780116917273535e-05,4.199457477938346e-05,0.005107228931054963,-0.0009369495307545208,0.004096504708603785,0.2578029979730629,1.1880617387853378,True,False,False,True,2021
ETHUSDT,LONG,1d,2021-01-18 00:00:00+00:00,1233.61,929.4889999999999,1537.7309999999998,1841.8519999999999,2145.973,672,2021-02-15 00:00:00+00:00,28.0,TP1+TP2+MAX_HOLD,0.013986399209143461,0.003448057095746564,2.797279841828692e-05,3.961184059185006e-05,0.005819521086781567,-0.0011642374861890203,0.004587698961582411,0.3280114411851802,1.3305171098360524,True,True,False,True,2021
